,name,id,popularity,genres,followers,image_url
2408,Fyrrh,19p9x3x6Qmz8xYWzmfhlaV,0,shoegaze,145,https://i.scdn.co/image/ab6761610000e5eb8653dbdac2e847e035570cf2
2409,JuDa,2uYnog6WlWo8GIm0bMPYWB,0,None,74,https://i.scdn.co/image/ab6761610000e5eb50727a43e346be4c99628166
2410,CENTAVRO,66zn5cJByaUGwPkJ7nSw1O,0,None,2,https://i.scdn.co/image/ab67616d0000b2734a7223b383cce1a48eb5d84a
2411,Chris Kips,1GcBkp3IqqnyzAbUThL9E7,0,None,204,https://i.scdn.co/image/ab6761610000e5eb1cdbf4e2f4a2be73494a5ff0
2412,ELEMENTO DUAL,1nUB5EyhtjXtnqit2se21q,1,None,571,https://i.scdn.co/image/ab6761610000e5eb872d82e112a3ea541895ede8
2413,Walter,3JTgk2rMZezwGCM0E1DoAE,0,None,254,https://i.scdn.co/image/ab6761610000e5eb0376e7ab127af34f491dc1a0
2414,40 Barrs,6KMHVUZsJjPXw016obpJLG,0,None,20,
2415,Akiri Conakri,5pJDdafAhjIhkUkP1dPsJg,0,None,0,https://i.scdn.co/image/ab67616d0000b273bf17814ad90bbf2e721cf92a
2416,Cleezy5,0uuSDRabjgHYH1QZxHzk8t,0,None,68,
2417,Jton,6C2EkyScc3HQu0EcHIMKLE,0,None,124,https://i.scdn.co/image/ab6761610000e5eb1378f0eacead4c86205f21a9
2418,Gnom,4GIOf4r1dkOpbqfauUdluL,0,None,5,https://i.scdn.co/image/ab67616d0000b27345ea586b1fc943cd9eba7cd5
2419,Pelé do Manifesto,15itjC8Y9xvOJHASycw9pr,0,None,596,
2420,RusS,2GHrOMMirnJwV52YbPU4tW,0,None,648,https://i.scdn.co/image/ab6761610000e5eb85a227672e76ddfca68fa470
2421,Jey Swade,4iFa4LZB19pilB9okYKO4l,0,None,49,https://i.scdn.co/image/ab6761610000e5ebcc5c85f0d0a4a17eefc49521
2422,BabyBoiG,3ubnIIy4W4LSpsdaKRsuki,0,None,56,https://i.scdn.co/image/ab6761610000e5eb86119a9a453cdc2402b5a83e
2423,Nan Roig,4rTF8NXu9gSwWwAdPAPdxx,3,rap metal,150,https://i.scdn.co/image/ab67616d0000b2730833415c099764190de0f2fe
2424,Dmoneii 1015,4tfpNH2eabrDOLXeN9dcat,0,None,141,https://i.scdn.co/image/ab6761610000e5eb68e48c4ff9fd300233b6e46e
2425,Xarope MC,5oo1udI8RwySIkOJtwM26R,0,None,106,https://i.scdn.co/image/ab67616d0000b273d6cc1715da6bd8a943e3f24f
2426,Johnata Break,30Og4YWTgZSiINvEpY24Gi,0,None,2,https://i.scdn.co/image/ab67616d0000b273851d1d3dafd7a6cd0c0a7600
2427,Willo,0jGjDn7kqT5kX1juF2H4NR,0,None,212,https://i.scdn.co/image/ab6761610000e5ebbb1863d34f725edc984e675d
2428,Cash Dillon,77mYQjJcpsSMTEmwK2tbKO,0,None,57,https://i.scdn.co/image/ab6761610000e5eb593c3578d7e2bf0579b59c00
2429,Muzzul CJ,4b7MFrViDbS4Oktvu6WSdU,0,None,35,https://i.scdn.co/image/ab6761610000e5ebcbda506e025bbe0a147c8029
2430,Lekão,0DM9e3oTtl1WbRIHn9rrPo,0,None,3,https://i.scdn.co/image/ab67616d0000b273ad56b5ba96d23d80cdab6561
